topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The primary purpose of government is to,collect taxes,maintain law and order and provide welfare,build roads only,conduct elections,B,"Government exists to ensure order, security, and citizens' welfare.",
General,Sovereignty refers to,the power to make laws,the supreme and final authority of the state,military power,economic power,B,Sovereignty is the ultimate authority over a territory and people.,
General,The executive arm of government is responsible for,making laws,interpreting laws,implementing laws,punishing offenders,C,The executive implements and enforces laws.,
General,A constitution is best described as,a set of customs,the fundamental laws and principles of a state,a political manifesto,an election guideline,B,A constitution is the supreme body of laws governing a state.,
General,Representative democracy is practiced when,all citizens vote on every issue,citizens elect representatives to make decisions,the military rules,one party rules,B,"In representative democracy, elected officials act for the people.",
General,"In a unitary system of government, power is concentrated in the",local governments,central government,state governments,regional councils,B,A unitary system centralizes authority in the national government.,
General,A major feature of a confederation is,a strong central government,a weak centre and strong component units,a military government,a one-party system,B,"In a confederation, component units retain significant autonomy.",
General,The minimum voting age in Nigeria is,16 years,18 years,21 years,25 years,B,The 1999 Constitution sets voting age at 18.,
General,Public opinion refers to,the views of the president,the collective attitudes and beliefs of citizens on issues,government policies,media reports only,B,Public opinion is the aggregate of individual views on matters of concern.,
General,A bye-election is held to,elect a new president,fill a vacancy in the legislature,change the constitution,dissolve parliament,B,Bye-elections fill seats vacated between general elections.,
General,The body that registers political parties in Nigeria is,National Assembly,INEC,Supreme Court,Presidency,B,INEC registers and regulates political parties.,
General,The returning officer in an election is responsible for,campaigning,announcing results,printing ballots,appointing judges,B,The returning officer declares official results.,
General,Nigeria became a republic in,1960,1963,1979,1999,B,Nigeria became a republic on 1 October 1963.,
