topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,The principle of natural justice demands,trial without defence,fair hearing and absence of bias,conviction without evidence,secret proceedings,B,Natural justice ensures impartiality and the right to be heard.,
General,'Audi alteram partem' means,hear the other side,judge alone,ignore the accused,punish without trial,A,It means no one should be judged without a hearing.,
General,'Nemo judex in causa sua' means,a person can judge their own case,no one should be a judge in their own cause,judges are above the law,the president is the final judge,B,It ensures impartiality by preventing conflict of interest.,
General,The first executive president of Nigeria under the 1979 Constitution was,Nnamdi Azikiwe,Shehu Shagari,Tafawa Balewa,Obafemi Awolowo,B,Shehu Shagari became president in 1979.,
General,The Nigerian Second Republic lasted from,1960-1966,1979-1983,1993-1998,1999-2007,B,The Second Republic was from 1979 to 1983.,
General,The Third Republic in Nigeria was aborted in,1990,1993,1995,1998,B,The Third Republic was truncated after the annulment of the 1993 election.,
General,"The annulled June 12, 1993 election was won by",Shehu Shagari,MKO Abiola,Olusegun Obasanjo,Muhammadu Buhari,B,Chief MKO Abiola won the annulled election.,
General,Nigeria returned to democratic rule in,1993,1995,1998,1999,D,Nigeria returned to democracy in May 1999.,
General,The first president of the Fourth Republic was,Shehu Shagari,Olusegun Obasanjo,Umaru Yar'Adua,Muhammadu Buhari,B,Olusegun Obasanjo was inaugurated in 1999.,
General,The Fourth Republic began in,1993,1995,1999,2003,C,The Fourth Republic commenced in 1999.,
General,The number of political parties that first contested the 1999 elections was,2,3,5,10,B,"Three parties: PDP, APP, and AD contested the 1999 elections.",
General,The People's Democratic Party (PDP) was formed in,1995,1998,1999,2003,B,PDP was formed in 1998 ahead of the transition.,
General,The All Progressives Congress (APC) was formed from the merger of,PDP and AD,"ACN, CPC, ANPP, and a faction of APGA",APGA and PDP,Labour Party and PDP,B,APC resulted from the 2013 merger of major opposition parties.,
General,The first Nigerian to become Secretary-General of the Commonwealth was,Emeka Anyaoku,Ibrahim Gambari,Ngozi Okonjo-Iweala,Amina Mohammed,A,Chief Emeka Anyaoku served as Commonwealth Secretary-General.,
General,Nigeria's foreign policy is anchored on,isolationism,Afrocentrism and non-alignment,imperialism,colonialism,B,Nigeria's foreign policy centres on Africa and non-alignment.,
General,The Economic Community of West African States (ECOWAS) was established in,1963,1975,1980,1999,B,ECOWAS was founded in 1975 by the Treaty of Lagos.,
General,The headquarters of ECOWAS is in,Lagos,Accra,Abuja,Dakar,C,"ECOWAS headquarters is in Abuja, Nigeria.",
General,The African Union (AU) replaced the Organisation of African Unity in,1999,2001,2002,2005,C,"The AU was launched in 2002, succeeding the OAU.",
General,The headquarters of the African Union is in,Lagos,Addis Ababa,Nairobi,Cairo,B,"The AU is headquartered in Addis Ababa, Ethiopia.",
General,The United Nations was established in,1945,1948,1950,1955,A,The UN was founded in 1945 after World War II.,
General,The headquarters of the United Nations is in,London,Paris,New York,Geneva,C,The UN headquarters is in New York City.,
General,The Security Council of the UN has how many permanent members?,3,5,10,15,B,"Five permanent members: US, UK, France, Russia, China.",
General,The International Court of Justice is located in,New York,Geneva,The Hague,Paris,C,"The ICJ sits at The Hague, Netherlands.",
General,The Commonwealth of Nations is made up of,all African countries,former British colonies and the UK,all UN members,European countries only,B,The Commonwealth consists mainly of former British territories.,
General,The head of the Commonwealth is,The British Monarch,The UN Secretary General,The AU Chairman,The President of Nigeria,A,The British monarch serves as symbolic head.,
General,Nigeria is a member of OPEC because it is a major producer of,gold,diamonds,crude oil,cocoa,C,Nigeria is a major oil producer and OPEC member.,
General,The United Nations has how many principal organs?,4,5,6,7,C,The UN has six principal organs.,
General,The UNICEF is concerned with,trade and development,children's welfare,environmental protection,military alliance,B,UNICEF promotes children's rights and welfare.,
General,The WHO is responsible for,global trade,international health,world peace,cultural exchange,B,The World Health Organization coordinates health issues.,
General,The IMF provides,military support,financial assistance to countries,educational grants,food aid,B,The IMF provides financial stability and loans.,
General,The World Bank focuses on,military defence,development projects and poverty reduction,space exploration,cultural festivals,B,The World Bank funds development projects.,
General,A responsible parent is expected to,abandon the family,provide for the needs of the children,only discipline children,leave children to themselves,B,Responsible parenting involves providing for children's needs.,
General,"The family that includes parents, children, grandparents, and other relatives is called",nuclear family,extended family,single-parent family,compound family,B,An extended family includes multiple generations.,
General,The institution of marriage is primarily meant for,procreation and companionship,business partnership,political alliance,tax benefits,A,Marriage provides a framework for procreation and companionship.,
General,Which of the following is a consequence of broken homes?,Emotional stability,Juvenile delinquency,Academic excellence,Social harmony,B,Broken homes may lead to delinquency.,
General,The process of teaching children values and norms of society is called,education,socialization,indoctrination,training,B,Socialization transmits cultural norms and values.,
General,The first agent of socialization is the,school,peer group,family,mass media,C,The family is the primary agent of socialization.,
General,Peer pressure can lead to,positive influence only,negative influence only,both positive and negative influence,no influence at all,C,Peer pressure can encourage good or bad behaviours.,
General,The mass media influences society by,keeping people isolated,shaping public opinion,preventing communication,encouraging ignorance,B,Mass media shapes attitudes and opinions.,
General,A cult group is characterized by,open membership,secretive and illegal activities,promotion of peace,respect for human rights,B,Cult groups engage in secret and unlawful practices.,
General,Drug abuse can lead to,improved health,mental illness and death,academic success,social approval,B,Drug abuse causes health deterioration.,
General,The National Drug Law Enforcement Agency (NDLEA) is responsible for,promoting drug use,combating drug trafficking,selling drugs,manufacturing drugs,B,NDLEA enforces laws against drug trafficking.,
