topic,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,imageAsset
General,Which of the following is an essential feature of a state?,A written constitution,Sovereignty,A president,Political parties,B,Sovereignty is a defining attribute of a state.,
General,The legislature is primarily concerned with,executing policies,lawmaking and oversight,judging cases,collecting taxes,B,The legislature makes laws and holds the executive accountable.,
General,The Nigerian Constitution is described as rigid because,it cannot be amended,its amendment requires a special procedure,it is written by the military,it is unwritten,B,Rigid constitutions require special amendment procedures.,
General,The rule of law means,rule by the president,equality before the law and supremacy of the law,rule by the military,rule by the rich,B,The rule of law ensures no one is above the law.,
General,"In a parliamentary system, the head of government is the",president,prime minister,chief justice,monarch,B,The prime minister heads the executive in a parliamentary system.,
General,The Nigerian legislature is bicameral because it has,the President and Vice President,the Senate and House of Representatives,the Governor and Deputy,the Supreme Court and Appeal Court,B,The National Assembly comprises the Senate and House of Representatives.,
General,A political party is an organization that,builds roads,seeks to capture and exercise political power,provides healthcare,collects taxes,B,Political parties aim to gain governmental power through elections.,
General,Franchise is the right to,free speech,vote in elections,own property,bear arms,B,Franchise (suffrage) is the right to vote.,
General,The first-past-the-post electoral system awards victory to,the candidate with the highest votes,all candidates,the party with most seats,the president's choice,A,First-past-the-post is a plurality system.,
General,The secret ballot system ensures,public voting,voter privacy and freedom from intimidation,vote buying,open counting,B,Secret ballot protects voters' choices.,
General,The opposition in a democracy serves to,support all government policies,check and challenge the government,form a parallel government,dissolve the legislature,B,The opposition provides alternatives and accountability.,
General,The first executive president of Nigeria was,Nnamdi Azikiwe,Tafawa Balewa,Shehu Shagari,Olusegun Obasanjo,C,Shehu Shagari was the first executive president under the 1979 Constitution.,
